id,name,external_id,external_id_type,entity_type,place_id,province_id,autonomous_region_id,dir3,ute_id,administration_level,parent_id,nifs,custom_place_id,is_contractor,is_assignee,slug,address,postal_code,country_name,country_code,place_name,import_pending
154944,Alcaldía del Ayuntamiento de Tibi,,,4,3129,3,10,L01031297,,,,{P0312900D},,t,f,alcaldadelayuntamientodetibi,Avda. Foia de Castalla nº 10,3129,España,ES,Tibi,f
43838,Alcaldía del Ayuntamiento de Renedo de Esgueva,,,4,47133,47,7,L01471338,,,,{P4713400B},,t,f,alcaldadelayuntamientoderenedodeesgueva,Plaza El Guindo nº 1,47170,España,ES,Renedo de Esgueva,f
21157,Alcaldia del Ayuntamiento de Cebrones del Rio,,,4,24053,24,7,L01240536,,,,{P2405500F},,t,f,alcaldiadelayuntamientodecebronesdelrio,,,,,,f
22343,Alcaldía del Ayuntamiento de Alcàntera de Xúquer,,,4,46053,46,10,L01460168,,,,{P4601600B},,t,f,alcaldadelayuntamientodealcnteradexquer,"C/ Ausias March, núm. 2",46293,España,ES,Beneixida,f
44905,Alcaldía del Ayuntamiento de Hornachos,,,4,6069,6,11,L01060690,,,,{P0606900I},,t,f,alcaldadelayuntamientodehornachos,"Plaza de España, nº 1",6228,España,ES,Hornachos,f
22071,Pleno del Ayuntamiento de Argoños,,,4,39079,39,6,L01390054,,,,{P3900500D},,t,f,plenodelayuntamientodeargoos,"Plaza de la Constitución, 1",39197,España,ES,Santoña,f
23346,Pleno de la Entidad Local Menor de Fresnadillo de Sayago,,,,49023,49,7,L04490002,,,,{P4900003G},,t,f,plenodelaentidadlocalmenordefresnadillodesayago,"Pz. Mayor, 1",49255,España,ES,Bermillo de Sayago,f
24244,Comandancia Guardia Civil de Almería,,,,4013,4,1,E03130004,,,,{S0416003B},,t,f,comandanciaguardiacivildealmera,"Glorieta Manuel Fraga Iribarne, s/n",4004,España,ES,Almería,f
24365,Dirección Provincial del Servicio Público de Empleo Estatal en La Rioja,,,3,26089,26,17,EA0021426,,,,{Q2619002E},,t,f,direccinprovincialdelserviciopblicodeempleoestatalenlarioja,"Juan II, 4 - Bajo",26007,España,ES,Logroño,f
25362,Consell Comarcal del Vallès Oriental,,,,8101,8,9,L06090837,,,,{P5809509B},,t,f,consellcomarcaldelvallsoriental,"Camino Ral, S/N",8401,España,ES,"Hospitalet de Llobregat, L'",f
25430,Dirección Provincial del Servicio Público de Empleo Estatal en Cádiz,,,3,11012,11,1,EA0021473,,,,{Q1119010E},,t,f,direccinprovincialdelserviciopblicodeempleoestatalencdiz,"Fondo Norte Edificio Carranza. Plaza de Madrid, s/n",11010,España,ES,Cádiz,f
25941,Presidencia de la Sociedad Anónima Estatal de Caución Agraria,,,,28079,28,13,EA0008419,,,,{A78792561},,t,f,presidenciadelasociedadannimaestataldecaucinagraria,"Jorge Juan, 19",28001,España,ES,Madrid,f
101768,"Subdirección General de Desarrollo Normativo, Informes y Publicaciones",,,,28079,28,13,E04990201,,,,{E04990201},,t,f,subdireccingeneraldedesarrollonormativoinformesypublicaciones,"Paseo de la Castellana, 160",28046,España,ES,Madrid,f
231647,Subdirección General de la Oficina Presupuestaria y de la Gestión Económica,,,,28079,28,13,E05070401,,,,{S2801445D},,t,f,subdireccingeneraldelaoficinapresupuestariaydelagestineconmica,"Paseo del Prado, 18-20",28014,España,ES,Madrid,f
959403,Alcaldia del Ayuntamiento de Hinojares,,,4,23042,23,1,L01230428,,,,{P2304200E},,t,f,alcaldiadelayuntamientodehinojares,"Plaza de la Constitución, 1",23486,España,ES,Pozo Alcón,f
244285,Institut Català d'Oncologia (ICO),,,,,,,A09006196,,,,{A09006196},,t,f,institutcataldoncologiaico,,,,,,f
244471,Ajuntament de Santa Coloma de Gramenet,,,4,8245,8,9,L01082457,,,,{},,t,f,ajuntamentdesantacolomadegramenet,,,,,,f
244474,"Transports Municipals del Gironès, SA (TMG, SA)",,,0,,,,LA0009680,,,,{},,t,f,transportsmunicipalsdelgironssatmgsa,,,,,,f
196892,Alcaldía del Ayuntamiento de Collado Villalba ,,,4,28061,28,13,L01280474,,,,{P2804700I},,t,f,alcaldadelayuntamientodecolladovillalba,Plaza de la Constitución 1,28400,España,ES,Galapagar,f
69239,"Secretaría Xeral da Igualdade (Vicepresidencia e Cons. De Presidencia, Admóns. Públicas e Xustiza)",,,,,,,A12009358,,,,{A12009358},,t,f,secretaraxeraldaigualdadevicepresidenciaeconsdepresidenciaadmnspblicasexustiza,,,,,,f
98371,Pleno del Ayuntamiento de Vallat,,,4,12123,12,10,L01121233,,,,{P1212300F},,t,f,plenodelayuntamientodevallat,"Calle Alta, 7",12224,España,ES,Villamalur,f
78892,Pleno del Ayuntamiento de Villalba de Duero,,,4,9438,9,7,L01094385,,,,{P0945100F},,t,f,plenodelayuntamientodevillalbadeduero,"Plaza Mayor, 1",9443,España,ES,Villalba de Duero,f
203846,Pleno del Ayuntamiento de María,,,4,4063,4,1,L01040638,,,,{P5016300E},,t,f,plenodelayuntamientodemara,"Plaza Bermudez, 1",50331,España,ES,Ruesca,f
42911,Parque Móvil del Estado,,,,28079,28,13,EA0023061,,,,{Q2826008A},,t,t,parquemvildelestado,Cea Bermúdez 5,28071,España,ES,Madrid,f
39997,Junta de Gobierno del Ayuntamiento de Teulada,,,4,3128,3,10,L01031284,,,,{P0312800F},,t,f,juntadegobiernodelayuntamientodeteulada,"Santa Catalina, 2",3725,España,ES,Teulada,f
243072,División Económica y Técnica (Cuerpo Nacional de Policía),,,,28079,28,13,E03116604,,,,{S2816015H},,t,t,divisineconmicaytcnicacuerponacionaldepolica,"Julián González Segador, 2",28043,España,ES,Madrid,f
212084,Dirección del Centro Penitenciario de Arrecife,,,,35024,35,5,E03121101,,,,{S3513004F},,t,f,direccindelcentropenitenciariodearrecife,"Rafael Alberti, 182",35509,España,ES,Teguise,f
52334,Dirección del Centro Penitenciario de Menorca,,,,7040,7,4,E04900401,,,,{Q0700612E},,t,f,direccindelcentropenitenciariodemenorca,"Ctra. Maó-Sant Lluis, Km. 3",7003,España,ES,Palma de Mallorca,f
244889,Centro de Estudios y Experimentación de Obras Públicas (CEDEX),,,,28079,28,13,E00125801,,,,{Q2817003C},,t,t,centrodeestudiosyexperimentacindeobraspblicascedex,"ALFONSO XII, 3 Y 5",28014,España,ES,Madrid,f
30556,Alcaldia del Ayuntamiento de Pescueza,,,4,10143,10,11,L01101437,,,,{P1014600I},,t,f,alcaldiadelayuntamientodepescueza,"Plaza Mayor, 8",10882,España,ES,Pescueza,f
39848,ALCALDIA DEL AYUNTAMIENTO DE LLERA,,,4,6073,6,11,L01060732,,,,{P0607300A},,t,f,alcaldiadelayuntamientodellera,"PLAZA DE ESPAÑA, 1",6227,España,ES,Llera,f
40170,Alcaldía del Ayuntamiento de Santa Lucía de Tirajana ,,,4,35022,35,5,L01350228,,,,{P3502300A},,t,t,alcaldadelayuntamientodesantalucadetirajana,"Avda. de las Tirajanas, 151",35110,España,ES,Santa Lucía de Tirajana,f
40725,Alcaldía del Ayuntamiento de Rute,,,4,14058,14,1,L01140581,,,,{P1405800B},,t,f,alcaldadelayuntamientoderute,"Toledo, 2",14960,España,ES,Rute,f
41950,Alcaldía del Ayuntamiento de Lloseta,,,4,7029,7,4,L01070295,,,,{P0702900B},,t,f,alcaldadelayuntamientodelloseta,Carrer Pou Nou 3,7360,España,ES,Lloseta,f
41193,Alcaldía del Ayuntamiento de Nules,,,4,12082,12,10,L01120825,,,,{P1208200D},,t,f,alcaldadelayuntamientodenules,"Plaza Mayor, 1",12520,España,ES,Nules,f
40768,Alcaldia del Ayuntamiento de Cantillana,,,4,41023,41,1,L01410233,,,,{P4102300C},,t,f,alcaldiadelayuntamientodecantillana,"Calle Nuestro Padre Jesús, s/n",41320,España,ES,Cantillana,f
41828,Alcaldía del Ayuntamiento de Cazorla,,,4,23030,23,1,L01230281,,,,{P2302800D},,t,f,alcaldadelayuntamientodecazorla,"Plaza Francisco Martínez, 1",23470,España,ES,Chilluévar,f
44973,Alcaldía del Ayuntamiento de Albaida del Aljarafe,,,4,41003,41,1,L01410037,,,,{P4100300E},,t,f,alcaldadelayuntamientodealbaidadelaljarafe,Plaza de España,41809,España,ES,Albaida del Aljarafe,f
24445,PLENO DEL AYUNTAMIENTO DE AZARA,,,4,22176,22,2,L01220417,,,,{P2205100G},,t,f,plenodelayuntamientodeazara,PLAZA AYUNTAMIENTO 1,22311,España,ES,Peraltilla,f
246062,Pleno del Ayuntamiento de Puebla del Salvador,,,4,16174,16,8,L01161744,,,,{P1618200H},,t,f,plenodelayuntamientodepuebladelsalvador,Plaza Constitución nº 11,16269,España,ES,Puebla del Salvador,f
27613,AREX,0CGC09502,4,,,,,I15413217,,,,{S15413217},,f,t,arex,,,España,ES,,f
524267,"Logaritme, Serveis Logístics, AIE",,,,,,,A09006478,,,,{G62736970},,t,t,logaritmeserveislogsticsaie,,,,,,f
243159,Institut Municipal de Serveis Socials,,,,,,,LA0007817,,,,{},,t,f,institutmunicipaldeserveissocials,,,,,,f
58704,Instituto Social de la Marina -Dirección Provincial de Sevilla,,,3,41091,41,1,EA0021283,,,,{Q4119003D},,t,f,institutosocialdelamarinadireccinprovincialdesevilla,"Fernando IV, 1",41011,España,ES,Sevilla,f
243151,Institut Català de la Salut (ICS),,,,,,,A09006169,,,,{Q5855029D},,t,t,institutcataldelasalutics,,,España,ES,,f
